gene_id	n_transcripts	max_prop_range	mean_prop_sd
LOC107440803	2	0.999999999997222	0.577350269178159
LOC107440882	3	0.999999999997222	0.365348709833085
LOC107446851	1	0.999999999997222	0.57735026918702
LOC107448470	3	0.999999999997222	0.525783423059468
LOC107457482	2	0.999999999997222	0.436473562857819
LOC107443488	3	0.999999999997143	0.525783423060084
LOC107446422	2	0.999999999997143	0.499999999992041
LOC107447412	2	0.999999999997143	0.499999999997202
LOC107436183	2	0.999999999997059	0.521404824049095
LOC107440179	2	0.999999999997059	0.49999999999759
LOC107441602	2	0.999999999997059	0.312313431544221
LOC107451801	3	0.999999999997059	0.525783423059396
LOC107453671	2	0.999999999997059	0.499999999996765
LOC107442139	2	0.99999999999697	0.577350269184538
LOC107448577	2	0.99999999999697	0.577350269185423
LOC107451627	2	0.99999999999697	0.499999999986189
LOC107456656	2	0.99999999999697	0.577350269185787
LOC107442885	3	0.999999999996875	0.333333333331169
LOC107443056	2	0.999999999996875	0.499999999995924
LOC107446905	2	0.999999999996875	0.499999999996094
LOC107447225	2	0.999999999996875	0.499999999997451
LOC107455111	1	0.999999999996875	0.577350269185837
LOC107455136	3	0.999999999996875	0.508788814633818
LOC107457369	2	0.999999999996875	0.472257582000614
LOC107450275	3	0.999999999996774	0.386081395241517
LOC107451320	2	0.999999999996774	0.577350269186583
LOC107454720	1	0.999999999996774	0.499999999994254
LOC107454859	2	0.999999999996774	0.577350269178025
LOC107456068	2	0.999999999996774	0.499999999997117
LOC107457381	3	0.999999999996774	0.378848499758212
LOC107448774	3	0.99999999999677	0.432577136125957
LOC107438886	2	0.999999999996667	0.499999999993915
LOC107441514	2	0.999999999996667	0.539504263696283
LOC107444075	3	0.999999999996667	0.411549788392793
LOC107447983	2	0.999999999996667	0.577350269184465
LOC107448156	2	0.999999999996667	0.499999999996733
LOC107450457	2	0.999999999996667	0.499999999994544
LOC107452769	1	0.999999999996667	0.57735026918722
LOC107454610	2	0.999999999996667	0.577350269182649
LOC107439301	2	0.999999999996552	0.538675134578916
LOC107440751	2	0.999999999996552	0.577350269184379
LOC107445767	2	0.999999999996552	0.499999999996013
LOC107448077	2	0.999999999996552	0.474821937934787
LOC107453944	1	0.999999999996552	0.499999999992588
LOC107436621	2	0.999999999996429	0.538675134584652
LOC107447113	2	0.999999999996429	0.577350269186025
LOC107449028	2	0.999999999996429	0.499999999969778
LOC107450069	2	0.999999999996429	0.577350269177082
LOC107452582	1	0.999999999996429	0.499999999992183
LOC107454840	2	0.999999999996429	0.538675134588527
LOC107453680	2	0.999999999996299	0.499999999989458
LOC107441765	2	0.999999999996296	0.577350269185388
LOC107442284	1	0.999999999996296	0.577350269187302
LOC107442577	2	0.999999999996296	0.577350269175259
LOC107454647	3	0.999999999996296	0.525783423051783
LOC107457456	2	0.999999999996296	0.422682417210572
LOC107438006	2	0.999999999996154	0.577350269168715
LOC107439434	1	0.999999999996154	0.577350269184392
LOC107440794	2	0.999999999996154	0.56087815660987
LOC122272142	3	0.999999999996154	0.478677311210982
LOC107436485	1	0.999999999996	0.499999999996199
LOC107436498	3	0.999999999996	0.390296259532011
LOC107439305	2	0.999999999996	0.577350269182152
LOC107440493	1	0.999999999996	0.577350269186065
LOC107445372	2	0.999999999996	0.538675134585456
LOC107447582	2	0.999999999996	0.577350269182096
LOC107453330	2	0.999999999996	0.492571058462923
LOC107456672	2	0.999999999996	0.538675134567792
LOC107438118	2	0.999999999995833	0.499999999993224
LOC107438196	2	0.999999999995833	0.577350269172529
LOC107450681	2	0.999999999995833	0.577350269183113
LOC107452436	1	0.999999999995833	0.577350269184815
LOC107452885	4	0.999999999995833	0.406802974495833
LOC107453094	2	0.999999999995833	0.518937371346434
LOC122271845	2	0.999999999995833	0.471728661226122
LOC107438505	2	0.999999999995652	0.499999999995419
LOC107442259	2	0.999999999995652	0.499999999993163
LOC107447774	2	0.999999999995652	0.538675134568426
LOC107448002	2	0.999999999995652	0.53867513458641
LOC107450954	2	0.999999999995652	0.530086535874213
LOC107454941	2	0.999999999995652	0.577350269170956
LOC107456648	2	0.999999999995652	0.499999999997246
LOC107437897	2	0.999999999995455	0.538675134579251
LOC107440500	1	0.999999999995455	0.499999999993585
LOC107440678	2	0.999999999995455	0.499999999996294
LOC107441682	2	0.999999999995455	0.577350269184743
LOC107444012	1	0.999999999995455	0.49999999997702
LOC107444853	2	0.999999999995455	0.538675134579853
LOC107446479	1	0.999999999995455	0.57735026917388
LOC107446710	1	0.999999999995455	0.499999999995473
LOC107447700	2	0.999999999995455	0.499999999996884
LOC107447950	2	0.999999999995455	0.499999999996036
LOC107450006	2	0.999999999995455	0.577350269185777
LOC107453050	3	0.999999999995455	0.375100757021186
LOC107454856	1	0.999999999995455	0.499999999995307
LOC139427137	2	0.999999999995455	0.577350269182074
LOC107438261	2	0.999999999995238	0.499999999971687
LOC107438407	1	0.999999999995238	0.577350269184643
LOC107442409	1	0.999999999995238	0.577350269186189
LOC107444360	2	0.999999999995238	0.577350269183188
LOC107452232	2	0.999999999995238	0.499999999996049
LOC107452305	2	0.999999999995238	0.499999999992381
LOC107453327	2	0.999999999995238	0.499999999994362
LOC107456328	2	0.999999999995238	0.496151661832155
LOC107440015	2	0.999999999995	0.492500175641803
LOC107443194	2	0.999999999995	0.476222087536915
LOC107443665	3	0.999999999995	0.489755032940291
LOC107444070	2	0.999999999995	0.499999999991979
LOC107444312	2	0.999999999995	0.499999999984861
LOC107444822	2	0.999999999995	0.45479361618661
LOC107445308	2	0.999999999995	0.499999999990417
LOC107445538	2	0.999999999995	0.499999999989514
LOC107449994	2	0.999999999995	0.577350269179041
LOC107453666	2	0.999999999995	0.577350269180828
LOC107456630	2	0.999999999995	0.577350269175564
LOC107437871	2	0.999999999994737	0.499999999993684
LOC107439482	2	0.999999999994737	0.439739714354234
LOC107440588	1	0.999999999994737	0.57735026918089
LOC107443909	2	0.999999999994737	0.577350269178943
LOC107445100	2	0.999999999994737	0.538675134567249
LOC107445688	1	0.999999999994737	0.499999999985234
LOC107450603	1	0.999999999994737	0.577350269184498
LOC107451042	2	0.999999999994737	0.57735026916914
LOC107451449	3	0.999999999994737	0.461916990925578
LOC122272351	2	0.999999999994737	0.577350269171024
LOC107449652	1	0.999999999994737	0.499999999990206
LOC107441117	1	0.999999999994445	0.577350269173588
LOC107436272	1	0.999999999994445	0.577350269180805
LOC107438593	1	0.999999999994445	0.499999999976852
LOC107441148	2	0.999999999994445	0.473267479309512
LOC107443913	2	0.999999999994445	0.499999999971898
LOC107445444	2	0.999999999994445	0.499999999993849
LOC107446600	2	0.999999999994445	0.538675134588996
LOC107450996	2	0.999999999994445	0.49999999999287
LOC107451091	3	0.999999999994445	0.491204523247532
LOC107437747	1	0.999999999994118	0.577350269183804
LOC107438133	3	0.999999999994118	0.396751320868413
LOC107438702	2	0.999999999994118	0.499999999993529
LOC107439448	1	0.999999999994118	0.577350269185866
LOC107439872	2	0.999999999994118	0.49999999999476
LOC107440755	1	0.999999999994118	0.577350269183116
LOC107442586	3	0.999999999994118	0.362216954686183
LOC107442643	1	0.999999999994118	0.499999999993338
LOC107448809	1	0.999999999994118	0.49999999998652
LOC107451515	1	0.999999999994118	0.577350269180711
LOC107454086	1	0.999999999994118	0.49999999997402
LOC107455010	1	0.999999999994118	0.577350269185866
LOC107455066	2	0.999999999994118	0.499999999996154
LOC107455374	2	0.999999999994118	0.499999999988485
LOC107451254	2	0.999999999993833	0.493168475143871
LOC107436151	1	0.99999999999375	0.577350269183698
LOC107440528	1	0.99999999999375	0.577350269173388
LOC107441522	2	0.99999999999375	0.499999999996652
LOC107446213	1	0.99999999999375	0.577350269180605
LOC107447434	1	0.99999999999375	0.499999999980208
LOC107452045	1	0.99999999999375	0.577350269182048
LOC107452124	2	0.99999999999375	0.512995563952295
LOC107452431	2	0.99999999999375	0.499999999977257
LOC107452476	2	0.99999999999375	0.577350269163465
LOC107455395	1	0.99999999999375	0.499999999978958
LOC107437549	1	0.999999999993333	0.499999999993472
LOC107438614	1	0.999999999993333	0.499999999978056
LOC107439330	2	0.999999999993333	0.499999999991852
LOC107439647	1	0.999999999993333	0.499999999996667
LOC107440322	1	0.999999999993333	0.499999999982222
LOC107440430	2	0.999999999993333	0.499999999995208
LOC107441727	2	0.999999999993333	0.49999999999455
