tx_id	ERR9871746	ERR9871747	ERR9871748	ERR9871749	gene_id	prop_ERR9871746	prop_ERR9871747	prop_ERR9871748	prop_ERR9871749	prop_mean	prop_sd	prop_max	prop_min	prop_range
XM_016063449.3	0	0	104	49	LOC107448306	0	0	0.999999999999038	0.999999999997959	0.499999999999249	0.577350269188759	0.999999999999038	0	0.999999999999038
XM_016058957.3	100	55	76	0	LOC107444740	0.999999999999	0.999999999998182	0.999999999998684	0	0.749999999998966	0.499999999999311	0.999999999999	0	0.999999999999
XM_016063867.3	0	14	99	0	LOC107448605	0	0.999999999992857	0.99999999999899	0	0.499999999997962	0.577350269187272	0.99999999999899	0	0.99999999999899
XM_016071927.4	0	13.084	98	12.375	LOC107454659	0	0.327099999999182	0.99999999999898	0.281249999999361	0.402087499999381	0.424027727817438	0.99999999999898	0	0.99999999999898
XM_043049675.2	98	21	0	0	LOC107446586	0.99999999999898	0.999999999995238	0	0	0.499999999998554	0.577350269187957	0.99999999999898	0	0.99999999999898
XM_043051043.2	0	0	97	27	LOC107436231	0	0	0.999999999998969	0.999999999996296	0.499999999998816	0.577350269188259	0.999999999998969	0	0.999999999998969
XM_016058116.3	0	0	95	0	LOC107444057	0	0	0.999999999998947	0	0.249999999999737	0.499999999999474	0.999999999998947	0	0.999999999998947
XM_071184682.1	38	14	95	0	LOC107451419	0.999999999997368	0.999999999992857	0.999999999998947	0	0.749999999997293	0.499999999998195	0.999999999998947	0	0.999999999998947
XM_016073054.4	0	39	95	44	LOC107455475	0	0.999999999997436	0.999999999998947	0.999999999997727	0.749999999998528	0.499999999999018	0.999999999998947	0	0.999999999998947
XM_043046194.2	0	95	342.926	33.012	LOC107445643	0	0.999999999998947	0.774099322798922	0.183399999999898	0.489374830699442	0.474311578981291	0.999999999998947	0	0.999999999998947
XM_043040468.2	91	0	34.516	0	LOC107453775	0.999999999998901	0	0.255674074073885	0	0.313918518518196	0.473001017291613	0.999999999998901	0	0.999999999998901
XM_016051240.3	16.215	0	96.494	89	LOC107438849	0.0867112299464777	0	0.426964601769723	0.999999999998876	0.378418957928769	0.453510006387724	0.999999999998876	0	0.999999999998876
XM_016067737.3	0	10	89	42	LOC107451582	0	0.99999999999	0.999999999998876	0.999999999997619	0.749999999996624	0.499999999997749	0.999999999998876	0	0.999999999998876
XM_071188421.1	0	0	89	5.93	LOC107452992	0	0	0.999999999998876	0.219629629628816	0.304907407406923	0.474820340003177	0.999999999998876	0	0.999999999998876
XM_016073603.3	32	10	88	0	LOC107455883	0.999999999996875	0.99999999999	0.999999999998864	0	0.749999999996435	0.499999999997623	0.999999999998864	0	0.999999999998864
XM_043047076.2	50.186	38	87	0	LOC107454928	0.69702777777681	0.999999999997368	0.999999999998851	0	0.674256944443257	0.4716488858127	0.999999999998851	0	0.999999999998851
XM_043044982.2	3.809	0	84	27	LOC107448732	0.146499999999437	0	0.99999999999881	0.999999999996296	0.536624999998636	0.538391644157517	0.99999999999881	0	0.99999999999881
XM_016047946.3	83	0	0	45	LOC107436297	0.999999999998795	0	0	0.999999999997778	0.499999999999143	0.577350269188637	0.999999999998795	0	0.999999999998795
XM_071178029.1	0	0	53.595	83	LOC107443893	0	0	0.197040441176398	0.999999999998795	0.299260110293798	0.476304692749069	0.999999999998795	0	0.999999999998795
XM_071187581.1	109.756	68	83	0	LOC107453206	0.914633333332571	0.999999999998529	0.999999999998795	0	0.728658333332474	0.487436241129123	0.999999999998795	0	0.999999999998795
XM_016075383.3	131.977	0	125.414	83	LOC107457257	0.709553763440479	0	0.580620370370102	0.999999999998795	0.572543533452344	0.420064347017799	0.999999999998795	0	0.999999999998795
XM_071185455.1	4	0	82	21	LOC107450964	0.999999999975	0	0.99999999999878	0.999999999995238	0.749999999992255	0.499999999994836	0.99999999999878	0	0.99999999999878
XM_043050551.2	0	37.663	82	35.811	LOC107450602	0	0.818760869563437	0.99999999999878	0.813886363634514	0.658161808299183	0.447240617871203	0.99999999999878	0	0.99999999999878
XM_043040304.2	48	34	82	0	LOC107448048	0.999999999997917	0.999999999997059	0.99999999999878	0	0.749999999998439	0.499999999998959	0.99999999999878	0	0.99999999999878
XM_016047954.3	162.156	81	14.412	0	LOC107436302	0.84456249999956	0.999999999998765	0.0430208955223752	0	0.471895848880175	0.524211740010091	0.999999999998765	0	0.999999999998765
XM_071178488.1	81	0	21.599	0	LOC107452457	0.999999999998765	0	0.220397959183449	0	0.305099489795554	0.47477449584539	0.999999999998765	0	0.999999999998765
XM_016069618.3	0	0	0	81	LOC107452897	0	0	0	0.999999999998765	0.249999999999691	0.499999999999383	0.999999999998765	0	0.999999999998765
XM_043044262.2	41	0	152.991	81	LOC107443723	0.999999999997561	0	0.956193749999403	0.999999999998765	0.739048437498932	0.493131529328001	0.999999999998765	0	0.999999999998765
XM_016060998.3	0	80	0	0	LOC107446372	0	0.99999999999875	0	0	0.249999999999687	0.499999999999375	0.99999999999875	0	0.99999999999875
XM_021147592.3	1.713	0	80	22.002	LOC107445777	0.122357142856269	0	0.99999999999875	0.578999999998476	0.425339285713374	0.457004098639182	0.99999999999875	0	0.99999999999875
XM_043040234.2	80	0	21	0	LOC107448065	0.99999999999875	0	0.999999999995238	0	0.499999999998497	0.57735026918789	0.99999999999875	0	0.99999999999875
XM_071187245.1	80	35	88.065	0	LOC107447906	0.99999999999875	0.999999999997143	0.42338942307672	0	0.605847355768153	0.486845125818595	0.99999999999875	0	0.99999999999875
XM_071187329.1	80	30	0	23	LOC107451031	0.99999999999875	0.999999999996667	0	0.999999999995652	0.749999999997767	0.499999999998511	0.99999999999875	0	0.99999999999875
XM_071181974.1	78	30	0	0	LOC107442383	0.999999999998718	0.999999999996667	0	0	0.499999999998846	0.577350269188293	0.999999999998718	0	0.999999999998718
XM_043052786.2	0	0	158.402	78	LOC122271459	0	0	0.856227027026564	0.999999999998718	0.464056756756321	0.539051644972726	0.999999999998718	0	0.999999999998718
XM_043048296.2	78	0	0	0	LOC107450836	0.999999999998718	0	0	0	0.249999999999679	0.499999999999359	0.999999999998718	0	0.999999999998718
XM_071188250.1	78	0	87.684	69	LOC107452994	0.999999999998718	0	0.64951111111063	0.999999999998551	0.662377777776975	0.471482555873721	0.999999999998718	0	0.999999999998718
XM_071188003.1	26	0	77	36	LOC107447766	0.999999999996154	0	0.999999999998701	0.999999999997222	0.749999999998019	0.49999999999868	0.999999999998701	0	0.999999999998701
XM_043051042.2	76	42	0	0	LOC107436231	0.999999999998684	0.999999999997619	0	0	0.499999999999076	0.577350269188559	0.999999999998684	0	0.999999999998684
XM_016068848.3	11.914	0	47.07	76	LOC107452383	0.220629629629221	0	0.273662790697515	0.999999999998684	0.373573105081355	0.434104940123755	0.999999999998684	0	0.999999999998684
XM_071177531.1	99.683	0	199.121	75.904	LOC107452737	0.954900326655598	0	0.958473727785125	0.999999999998682	0.728343513609851	0.485993630077759	0.999999999998682	0	0.999999999998682
XM_071178886.1	75	29	79.87	0	LOC107453613	0.999999999998667	0.999999999996552	0.928720930231478	0	0.732180232556674	0.48927531256389	0.999999999998667	0	0.999999999998667
XM_043040174.2	55	28	75	0	LOC107455970	0.999999999998182	0.999999999996429	0.999999999998667	0	0.749999999998319	0.49999999999888	0.999999999998667	0	0.999999999998667
XM_071180016.1	0	0	75	0	LOC107442546	0	0	0.999999999998667	0	0.249999999999667	0.499999999999333	0.999999999998667	0	0.999999999998667
XM_071183272.1	75	27	0	0	LOC107457578	0.999999999998667	0.999999999996296	0	0	0.499999999998741	0.577350269188172	0.999999999998667	0	0.999999999998667
XM_043043916.2	0	0	119.935	74	LOC107447906	0	0	0.5766105769228	0.999999999998649	0.394152644230362	0.486845125819083	0.999999999998649	0	0.999999999998649
XM_016054722.4	31.773	73.803	0	62.057	LOC107441456	0.238659666043041	0.999999999998645	0	0.925795527441145	0.541113798370708	0.497607349783071	0.999999999998645	0	0.999999999998645
XM_043043918.2	73	0	0	0	LOC107441008	0.99999999999863	0	0	0	0.249999999999658	0.499999999999315	0.99999999999863	0	0.99999999999863
XM_016053531.3	37.5	0	73	33	LOC107440566	0.872093023253786	0	0.99999999999863	0.99999999999697	0.718023255812346	0.482464733650616	0.99999999999863	0	0.99999999999863
XM_016057094.3	20	0	72	0	LOC107443270	0.999999999995	0	0.999999999998611	0	0.499999999998403	0.577350269187781	0.999999999998611	0	0.999999999998611
XM_071178506.1	0	0	72	0	LOC107438309	0	0	0.999999999998611	0	0.249999999999653	0.499999999999306	0.999999999998611	0	0.999999999998611
