p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.91874818706138e-27	0.375750340367842	0.575	0.466	2.22939351854662e-23	1	LOC107441110
6.74292614925473e-26	0.455971443478518	0.472	0.37	7.83460589281907e-22	1	LOC107448034
1.31589872098978e-25	0.388113093499635	0.585	0.487	1.52894272391802e-21	1	LOC107449281
3.5800162652239e-25	0.363882732482921	0.584	0.48	4.15962089856365e-21	1	LOC107442270
3.27442857363736e-24	0.353268078160262	0.637	0.553	3.80455855970925e-20	1	LOC107455337
1.39123644884457e-22	0.4515953938123	0.376	0.28	1.6164776299125e-18	1	LOC107456155
4.823241849481e-22	0.440908044871669	0.368	0.275	5.60412470491197e-18	1	LOC107451394
8.58592230426046e-20	0.409416023138145	0.436	0.348	9.97598312532023e-16	1	LOC107452888
1.07241517767403e-19	0.442872544870558	0.405	0.32	1.24603919493946e-15	1	LOC107454300
1.15980605973723e-19	0.346690985949203	0.48	0.385	1.34757866080869e-15	1	LOC107453160
2.53388543205052e-19	0.304530568817614	0.632	0.548	2.9441214834995e-15	1	LOC107452175
5.25224640501329e-19	0.294500611728738	0.664	0.589	6.10258509798494e-15	1	LOC107439613
8.04451007410383e-19	0.35719776403525	0.501	0.416	9.34691625510124e-15	1	LOC107446235
1.92208966761952e-18	0.307022273144417	0.577	0.495	2.23327598480711e-14	1	LOC107440173
1.38035593528515e-17	0.468483005763845	0.313	0.236	1.60383556120781e-13	1	LOC107443451
3.02105469682527e-17	0.463392479381679	0.259	0.186	3.51016345224128e-13	1	LOC107448144
3.60756654020719e-17	0.44650462222095	0.313	0.235	4.19163156306674e-13	1	LOC107457517
7.66599750991453e-17	0.420818031555989	0.391	0.313	8.90712250676969e-13	1	LOC107449398
1.98875786908982e-16	0.308465264448783	0.548	0.467	2.31073776809546e-12	1	LOC107441374
3.4695145249407e-16	0.339340869465571	0.548	0.478	4.0312289265286e-12	1	LOC107438136
5.09088490145549e-16	0.526084613452273	0.254	0.186	5.91509916700113e-12	1	LOC107456994
5.77878647230763e-15	0.374628424094475	0.403	0.327	6.71437200217423e-11	1	LOC107455966
9.3473999717188e-15	0.264882856659361	0.584	0.512	1.08607440271401e-10	1	LOC107445457
1.85483827176874e-14	0.458613507269563	0.305	0.238	2.1551365879681e-10	1	LOC107450685
2.13609825092354e-14	0.362345482254193	0.413	0.339	2.48193255774806e-10	1	LOC107438878
2.45827582283723e-14	0.343094265906152	0.44	0.368	2.85627067855458e-10	1	LOC107456071
3.54902986052446e-14	0.376792054223235	0.361	0.289	4.12361779494337e-10	1	LOC107445872
4.41556494027879e-14	0.314697635189428	0.465	0.389	5.13044490410992e-10	1	LOC107440103
